symbol,buy_date,buy_price,sell_date,sell_price,shares,return_pct,profit,holding_days,sell_reason
CMG,2017-10-16,6.407800197601318,2017-10-25,5.540200233459473,156,-0.1353974745446372,-135.34559440612793,9,stop_loss_dip
NFLX,2017-10-16,20.26799964904785,2017-11-10,19.20199966430664,49,-0.05259522415628665,-52.233999252319336,25,stop_loss_sideways
NVDA,2017-10-16,4.890028953552246,2017-11-10,5.339922904968262,204,0.09200230830723422,91.77836608886719,25,stop_loss_sideways
META,2017-10-16,173.3093719482422,2017-11-10,177.2220458984375,5,0.02257623985484068,19.563369750976562,25,stop_loss_sideways
BAC,2017-10-16,21.651634216308597,2017-11-10,21.87442970275879,46,0.010290007868430373,10.248592376708821,25,stop_loss_sideways
JPM,2017-10-16,78.60767364501953,2017-11-10,78.3425521850586,12,-0.003372717289131164,-3.18145751953125,25,stop_loss_sideways
AMAT,2017-10-16,50.17544937133789,2017-11-10,51.37877655029297,19,0.023982389675267442,22.863216400146484,25,stop_loss_sideways
LRCX,2017-10-16,17.118833541870117,2017-11-10,18.4564151763916,58,0.07813509204642705,77.5797348022461,25,stop_loss_sideways
CVX,2017-10-16,84.26398468017578,2017-11-10,82.1947021484375,11,-0.024557140747523982,-22.762107849121094,25,stop_loss_sideways
V,2017-10-25,103.40233612060548,2017-11-21,105.43983459472656,1,0.019704569070321587,2.0374984741210795,27,stop_loss_sideways
EQT,2017-11-10,32.751895904541016,2017-11-21,29.304859161376957,27,-0.10524693755777756,-93.06999206542959,11,stop_loss_dip
MU,2017-11-21,48.21890640258789,2017-11-29,42.6942253112793,6,-0.11457499772355033,-33.14808654785156,8,stop_loss_dip
NVDA,2017-11-10,5.339922904968262,2017-12-04,4.614798069000244,167,-0.1357931282665826,-121.09584760665894,24,stop_loss_dip
DIS,2017-11-10,98.7601547241211,2017-12-08,99.03205871582033,9,0.0027531750275075597,2.4471359252930966,28,stop_loss_sideways
WMT,2017-11-10,26.525171279907227,2017-12-08,28.31612968444824,33,0.06751920225667535,59.1016273498534,28,stop_loss_sideways
